Year,Evap
1958,513.7
1959,625.3000000000001
1960,498.70000000000005
1961,527.4
1962,519.9000000000001
1963,504.6
1964,539.2
1965,514.1
1966,502.90000000000003
1967,547.1
1968,496.00000000000006
1969,547.5
1970,549.0
1971,557.7
1972,510.00000000000006
1973,570.0
1974,551.4000000000001
1975,579.1
1976,616.5
1977,513.4
1978,507.00000000000006
1979,493.3
1980,508.8
1981,501.40000000000003
1982,595.3000000000001
1983,550.5
1984,497.50000000000006
1985,509.00000000000006
1986,565.1
1987,499.20000000000005
1988,505.90000000000003
1989,602.8000000000001
1990,583.4000000000001
1991,537.6
1992,579.2
1993,516.5
1994,539.5
1995,590.2
1996,522.6
1997,561.1
1998,492.20000000000005
1999,582.5
2000,540.5
2001,571.2
2002,573.6
2003,634.9000000000001
2004,568.8000000000001
2005,591.2
2006,600.5
2007,581.4000000000001
2008,575.7
2009,611.5
2010,589.9000000000001
2011,585.4000000000001
2012,563.6
2013,564.7
2014,606.6
2015,609.1
2016,594.8000000000001
2017,591.1
2018,670.8000000000001
2019,636.9000000000001
2020,655.0
2021,584.7
2022,697.9000000000001
2023,642.3000000000001
